id,username,password,firstname,lastname,email,major
1,sysadmin,admin,sys,admin,sysadmin@ucmerced.edu,undeclared
2,BethXerxes,$OFj8mobOw2oN,Beth,Xerxes,Beth.Xerxes@ucmerced.edu,management and business economics
3,KittieConcha,dKck8W8Z,Kittie,Concha,Kittie.Concha@ucmerced.edu,cognitive science
4,EveRiordan,Q9B^bh^tS=rwJj,Eve,Riordan,Eve.Riordan@ucmerced.edu,mechanical engineering
5,KirstinLia,@zSj=v@Ijt,Kirstin,Lia,Kirstin.Lia@ucmerced.edu,psychology
6,DevinaSyd,szSqELEj&3g,Devina,Syd,Devina.Syd@ucmerced.edu,economics
7,NyssaAutrey,sNE%y%gYh,Nyssa,Autrey,Nyssa.Autrey@ucmerced.edu,environmental systems science
8,CybChrystel,_xV2M0w-^)Pp!D,Cyb,Chrystel,Cyb.Chrystel@ucmerced.edu,cognitive science
9,CarylBach,)l&_$IdkO1,Caryl,Bach,Caryl.Bach@ucmerced.edu,sociology
10,MamieBreed,xgI5_yhGVKS+OW,Mamie,Breed,Mamie.Breed@ucmerced.edu,environmental systems science
11,GratiaHaerr,4yA%=_5zJ,Gratia,Haerr,Gratia.Haerr@ucmerced.edu,civil engineering
12,ErmengardeMaryanne,zWTjDMxD0MO,Ermengarde,Maryanne,Ermengarde.Maryanne@ucmerced.edu,critical race and ethnic studies
13,KylynnSheng,6+vFp_GcN4uy@5,Kylynn,Sheng,Kylynn.Sheng@ucmerced.edu,cognitive science
14,AimilVastah,Lnjci*UIr1K3L5,Aimil,Vastah,Aimil.Vastah@ucmerced.edu,psychology
15,FawneRalfston,kEeA#o&k*soW,Fawne,Ralfston,Fawne.Ralfston@ucmerced.edu,political science
16,AnniceIaverne,lO)kKSHDJ_F&,Annice,Iaverne,Annice.Iaverne@ucmerced.edu,cognitive science
17,MonikaAvi,8#X=xBIFXBcYP-M,Monika,Avi,Monika.Avi@ucmerced.edu,spanish
18,FannyDimitris,*!w)@2oWBJr,Fanny,Dimitris,Fanny.Dimitris@ucmerced.edu,chemical sciences
19,HollieSuk,V-H6K+tYs)SFSx_3,Hollie,Suk,Hollie.Suk@ucmerced.edu,economics
20,FrederickaSidonius,Z9xP%Jm7=f,Fredericka,Sidonius,Fredericka.Sidonius@ucmerced.edu,philosophy
21,ShelStanding,7FVlIY+Z0Hho,Shel,Standing,Shel.Standing@ucmerced.edu,biological sciences
22,TalyaSchonfeld,RO*J!QwdL7^sWH,Talya,Schonfeld,Talya.Schonfeld@ucmerced.edu,applied mathematical sciences
23,IleanaKevon,efEbUv8IeqQTk,Ileana,Kevon,Ileana.Kevon@ucmerced.edu,global arts studies program
24,DarylOdell,I^&kH%Bpq!d4a_0,Daryl,Odell,Daryl.Odell@ucmerced.edu,spanish
25,MerleHoban,_s4Y^2@_B^QGOcCe,Merle,Hoban,Merle.Hoban@ucmerced.edu,civil engineering
26,CassondraTimon,2FiMp*#+XvRlFM,Cassondra,Timon,Cassondra.Timon@ucmerced.edu,critical race and ethnic studies
27,ImojeanMalvino,zpn8di7G6wMM,Imojean,Malvino,Imojean.Malvino@ucmerced.edu,public health
28,JenileeRosalba,NH=5q%JACJk&2,Jenilee,Rosalba,Jenilee.Rosalba@ucmerced.edu,mechanical engineering
29,OreliaYuille,82zsUqnGNr,Orelia,Yuille,Orelia.Yuille@ucmerced.edu,psychology
30,ClementineKronfeld,jIG!!NN!Wij%7!jK,Clementine,Kronfeld,Clementine.Kronfeld@ucmerced.edu,history
31,LilaBarrus,nkzBZsurs)W,Lila,Barrus,Lila.Barrus@ucmerced.edu,environmental systems science
32,MegBelldas,&*s*Lasz*3Np,Meg,Belldas,Meg.Belldas@ucmerced.edu,materials sciences and engineering
33,ZondraDurware,Rd*klylTLtlEAii,Zondra,Durware,Zondra.Durware@ucmerced.edu,anthropology
34,LorneCullin,##vX2ZTGylacotP8,Lorne,Cullin,Lorne.Cullin@ucmerced.edu,psychology
35,RutheMarlie,3-wLMYtW=rmh*3b=,Ruthe,Marlie,Ruthe.Marlie@ucmerced.edu,spanish
36,EmelinaSawtelle,*#c^olrBq,Emelina,Sawtelle,Emelina.Sawtelle@ucmerced.edu,computer science and engineering
37,BethInfield,3Ba8jkaX-HimJA*M,Beth,Infield,Beth.Infield@ucmerced.edu,environmental engineering
38,NelleAmasa,_-Dd3-4rkzKE,Nelle,Amasa,Nelle.Amasa@ucmerced.edu,psychology
39,AmaraLymann,j0be0)1qrz#(,Amara,Lymann,Amara.Lymann@ucmerced.edu,global arts studies program
40,GeriannaMcLaughlin,y^s^$x5n)CIPR,Gerianna,McLaughlin,Gerianna.McLaughlin@ucmerced.edu,critical race and ethnic studies
41,AnnabelaGert,GP7OMRoE34NI,Annabela,Gert,Annabela.Gert@ucmerced.edu,history
42,TatianiaCandy,yQ3)CPtY@cj&j*Uj,Tatiania,Candy,Tatiania.Candy@ucmerced.edu,english
43,KarlyHowlyn,DHj9g3&5&ogj,Karly,Howlyn,Karly.Howlyn@ucmerced.edu,management and business economics
44,TobeShelba,arL^aduWWXWm@7!5,Tobe,Shelba,Tobe.Shelba@ucmerced.edu,materials sciences and engineering
45,AnaTalia,&x0YLWEikd^gfk0,Ana,Talia,Ana.Talia@ucmerced.edu,environmental engineering
46,SamBeebe,Fo2MRzHBh,Sam,Beebe,Sam.Beebe@ucmerced.edu,philosophy
47,KatleenBeniamino,+mMllQzJ%BXyM,Katleen,Beniamino,Katleen.Beniamino@ucmerced.edu,chemical sciences
48,ShannahCherianne,&eaEf^=b=X5I,Shannah,Cherianne,Shannah.Cherianne@ucmerced.edu,psychology
49,MaraBriney,%fig0Q)T0jU,Mara,Briney,Mara.Briney@ucmerced.edu,political science
50,AlleenCreamer,ARNABaND,Alleen,Creamer,Alleen.Creamer@ucmerced.edu,spanish
51,RivaleeNunci,gbVw)LWCVM7K,Rivalee,Nunci,Rivalee.Nunci@ucmerced.edu,global arts studies program
52,ElenaDominy,9)j#igd6^,Elena,Dominy,Elena.Dominy@ucmerced.edu,public health
53,TherineDulciana,ftT@Ef@GAP,Therine,Dulciana,Therine.Dulciana@ucmerced.edu,spanish
54,MaudToffic,Ej($hag-dt,Maud,Toffic,Maud.Toffic@ucmerced.edu,environmental engineering
55,MyrticeFelizio,J7-&aeR#_!4qx,Myrtice,Felizio,Myrtice.Felizio@ucmerced.edu,applied mathematical sciences
56,ElieToor,pieMf2n$ID!t,Elie,Toor,Elie.Toor@ucmerced.edu,bioengineering
57,HayleyMaroney,$IyxKSq#7htdUc=,Hayley,Maroney,Hayley.Maroney@ucmerced.edu,chemical sciences
58,MargaloEno,Tmul9D+%,Margalo,Eno,Margalo.Eno@ucmerced.edu,cognitive science
59,RobbiPapageno,GnEz@pER*OKDH2E,Robbi,Papageno,Robbi.Papageno@ucmerced.edu,global arts studies program
60,JsandyeBrackely,sk^p^x5Mm_)IQSq,Jsandye,Brackely,Jsandye.Brackely@ucmerced.edu,political science
61,ChandraChaing,9&a(5nh%U12U,Chandra,Chaing,Chandra.Chaing@ucmerced.edu,cognitive science
62,MinneKarna,5jHeq91^d,Minne,Karna,Minne.Karna@ucmerced.edu,philosophy
63,AnnoraByrne,LbQSW+hr5eHp,Annora,Byrne,Annora.Byrne@ucmerced.edu,materials sciences and engineering
64,MelodiePhiloo,Z5-p7(&X,Melodie,Philoo,Melodie.Philoo@ucmerced.edu,management and business economics
65,AarenPoll,jO6m!MjgCw5PpS,Aaren,Poll,Aaren.Poll@ucmerced.edu,psychology
66,JeanGaal,HKspFQ#&r,Jean,Gaal,Jean.Gaal@ucmerced.edu,political science
67,HelsaElbertina,XOXzgvnP,Helsa,Elbertina,Helsa.Elbertina@ucmerced.edu,history
68,MargueriteCarmena,%S+N!&MA_du!,Marguerite,Carmena,Marguerite.Carmena@ucmerced.edu,biological sciences
69,HyacintheGamaliel,o@7hlKEOhPkoo#e,Hyacinthe,Gamaliel,Hyacinthe.Gamaliel@ucmerced.edu,global arts studies program
70,AurelieFax,M#CQ7%idc^-qXw,Aurelie,Fax,Aurelie.Fax@ucmerced.edu,materials sciences and engineering
71,RoriVelick,Swex1NJ$ZW@!M,Rori,Velick,Rori.Velick@ucmerced.edu,mechanical engineering
72,NettyEugenia,-n1s_a8WU#SQkn,Netty,Eugenia,Netty.Eugenia@ucmerced.edu,civil engineering
73,JinnyWyn,l$Ked$Sk%,Jinny,Wyn,Jinny.Wyn@ucmerced.edu,anthropology
74,GustyPitt,t%#fz8=d,Gusty,Pitt,Gusty.Pitt@ucmerced.edu,global arts studies program
75,FlorenciaAfton,NNyFV6v5MF,Florencia,Afton,Florencia.Afton@ucmerced.edu,philosophy
76,LorneSaint,x&t=79fkwjh,Lorne,Saint,Lorne.Saint@ucmerced.edu,biological sciences
77,GloriaDimitris,YVTPVTp-wH%Cwq-,Gloria,Dimitris,Gloria.Dimitris@ucmerced.edu,biological sciences
78,DulcineaDarrell,BeixX3H-fieUoL_,Dulcinea,Darrell,Dulcinea.Darrell@ucmerced.edu,global arts studies program
79,DariArvo,N$m2FeWZ,Dari,Arvo,Dari.Arvo@ucmerced.edu,economics
80,ElfredaLutero,SmUCdvMWhc#XqkU,Elfreda,Lutero,Elfreda.Lutero@ucmerced.edu,environmental systems science
81,CarmelaCleo,)415qhFwE_,Carmela,Cleo,Carmela.Cleo@ucmerced.edu,chemical sciences
82,GoldiePillsbury,C8JiZsG%avetPJp$,Goldie,Pillsbury,Goldie.Pillsbury@ucmerced.edu,civil engineering
83,OlwenCarleen,zFm$xrxK&4$0,Olwen,Carleen,Olwen.Carleen@ucmerced.edu,critical race and ethnic studies
84,MaudOlympium,MJos&3VIGmdHy+q,Maud,Olympium,Maud.Olympium@ucmerced.edu,english
85,ValedaDeegan,JbRHbf5HM,Valeda,Deegan,Valeda.Deegan@ucmerced.edu,applied mathematical sciences
86,HeidaScammon,heLSL^Hgxr6k5ns,Heida,Scammon,Heida.Scammon@ucmerced.edu,bioengineering
87,PearlineBlase,3nyPpl)!2ryYJw,Pearline,Blase,Pearline.Blase@ucmerced.edu,applied mathematical sciences
88,EttaClie,Sf65ioSj3i,Etta,Clie,Etta.Clie@ucmerced.edu,environmental systems science
89,TinaBerriman,+e)CJbVvPWQDN=,Tina,Berriman,Tina.Berriman@ucmerced.edu,global arts studies program
90,KatuschaKeelia,EFcBidqlTW%-(Kkm,Katuscha,Keelia,Katuscha.Keelia@ucmerced.edu,critical race and ethnic studies
91,KajaLindemann,$^0cNuge(3,Kaja,Lindemann,Kaja.Lindemann@ucmerced.edu,critical race and ethnic studies
92,AlmetaDelacourt,3pMPip!3DDp,Almeta,Delacourt,Almeta.Delacourt@ucmerced.edu,environmental systems science
93,DamarisReinke,5Lit^i)3$nS0j9,Damaris,Reinke,Damaris.Reinke@ucmerced.edu,biological sciences
94,NettyNisbet,MZC!YS1JR,Netty,Nisbet,Netty.Nisbet@ucmerced.edu,political science
