id,username,password,firstname,lastname,email,major
1,CandyVastah,&$ UN5vvV9NDz5nztFLB0Upp,Candy,Vastah,CandyVastah@ucmerced.edu,economics
2,MarikaVernier,+QoM_N2=G$X 80uVXT&&wM,Marika,Vernier,MarikaVernier@ucmerced.edu,history
3,Kara-LynnKronfeld,"Ldn)C#z i08DE4t2^fD ",Kara-Lynn,Kronfeld,Kara-LynnKronfeld@ucmerced.edu,critical race and ethnic studies
4,DarylCarlson,9OlF7k4 4K*I#njMd^x,Daryl,Carlson,DarylCarlson@ucmerced.edu,applied mathematical sciences
5,CacilieKathie,y7R5U=9mwed,Cacilie,Kathie,CacilieKathie@ucmerced.edu,english
6,LennaDarbie,pC7Cjkd35dI-FLq+WjUdmos!,Lenna,Darbie,LennaDarbie@ucmerced.edu,chemical sciences
7,RoslynBahr,&!B+IO#nMAM=QGK3*#-d(Yi1h5G,Roslyn,Bahr,RoslynBahr@ucmerced.edu,anthropology
8,GeorgettaOneida,O^x8U@8kk,Georgetta,Oneida,GeorgettaOneida@ucmerced.edu,materials sciences and engineering
9,NyssaPascia,1Mfef#Wpcz&b*RT4jR VaLak,Nyssa,Pascia,NyssaPascia@ucmerced.edu,sociology
10,SissyAnnabella,BtAfPA#)D#,Sissy,Annabella,SissyAnnabella@ucmerced.edu,public health
11,CodieOvid,K27lTi+O0$,Codie,Ovid,CodieOvid@ucmerced.edu,sociology
12,MarinnaKorey,w^i^fSG4)N0gv7vOcTJ61IC(*0,Marinna,Korey,MarinnaKorey@ucmerced.edu,materials sciences and engineering
13,RenieRebecka,w ^L%@M0Z89HfA,Renie,Rebecka,RenieRebecka@ucmerced.edu,anthropology
14,MelanieLove,gEcDfaWa&f+xXJ,Melanie,Love,MelanieLove@ucmerced.edu,economics
15,CassandraMelan,&AuWMstvu,Cassandra,Melan,CassandraMelan@ucmerced.edu,chemical sciences
16,LizzieJohanna,B8UuyRB3WXJ  n,Lizzie,Johanna,LizzieJohanna@ucmerced.edu,applied mathematical sciences
17,BobbiHourigan,fdh5qfmrJV$^Q1CrJ9DXLb^QYLtH=,Bobbi,Hourigan,BobbiHourigan@ucmerced.edu,environmental engineering
18,EolandaRegan,yFL)1DRe+mdT+evpOn,Eolanda,Regan,EolandaRegan@ucmerced.edu,history
19,RobiniaNahum,X0mG0T 6B-S0 CZk,Robinia,Nahum,RobiniaNahum@ucmerced.edu,english
20,GeriannaAurelio,A=d&4jFVcpD9J,Gerianna,Aurelio,GeriannaAurelio@ucmerced.edu,mechanical engineering
21,KellyEstella,Dpz JQE6NVK6zSu&T8NLzzfSaqYBX,Kelly,Estella,KellyEstella@ucmerced.edu,environmental engineering
22,JulianeGaspard,9z_p!C!RRhdzkb4a-GmOn,Juliane,Gaspard,JulianeGaspard@ucmerced.edu,mechanical engineering
23,SonniMcNully,UTb2(YDG-=$DQL,Sonni,McNully,SonniMcNully@ucmerced.edu,materials sciences and engineering
24,OlivetteFaust,W97EbeHt+dC,Olivette,Faust,OlivetteFaust@ucmerced.edu,environmental systems science
25,CamPoppy," 7lljK1$JN",Cam,Poppy,CamPoppy@ucmerced.edu,philosophy
26,MarinnaKevon,"2ULvrZpD ",Marinna,Kevon,MarinnaKevon@ucmerced.edu,cognitive science
27,DarlleenWooster,1JW %^gT,Darlleen,Wooster,DarlleenWooster@ucmerced.edu,cognitive science
28,SeliaGranoff,sKrd8L*((,Selia,Granoff,SeliaGranoff@ucmerced.edu,materials sciences and engineering
29,EugineGrobe,8+t_co 46)PAaH(Vtlzt^Hs t^w@x,Eugine,Grobe,EugineGrobe@ucmerced.edu,sociology
30,DomingaMagdalen,zA(%z%mDfB@$8c(CuZ&,Dominga,Magdalen,DomingaMagdalen@ucmerced.edu,english
31,DonnieMinetta,+SC  H O a#1+,Donnie,Minetta,DonnieMinetta@ucmerced.edu,critical race and ethnic studies
32,BrynnaKlotz,qT$h=wzo &C,Brynna,Klotz,BrynnaKlotz@ucmerced.edu,applied mathematical sciences
33,BrooksRillings,auWn7_N!irmbGYRwxV0TSJrd$o,Brooks,Rillings,BrooksRillings@ucmerced.edu,public health
34,ChristianChobot,ft#S6PhWRWg%=Py9 q0J+H1yvU8O^0,Christian,Chobot,ChristianChobot@ucmerced.edu,materials sciences and engineering
35,CarolinaLoleta,JO#t^FnZBFGip%ywQy+ H!L,Carolina,Loleta,CarolinaLoleta@ucmerced.edu,applied mathematical sciences
36,CoreneLudewig,OhH32b@FSI7)g=iJ2Nn$WqA&e n&cK#,Corene,Ludewig,CoreneLudewig@ucmerced.edu,civil engineering
37,CarilynGuildroy,RBN&%ZYSgTAiH8$MSbjyoYwZN,Carilyn,Guildroy,CarilynGuildroy@ucmerced.edu,materials sciences and engineering
38,BrynnaFaria,JtUdW!wMdx%w(vRkgF+lg8,Brynna,Faria,BrynnaFaria@ucmerced.edu,psychology
39,BernardineTannie,=E*XXOt1-_Bc(S#I7s1$,Bernardine,Tannie,BernardineTannie@ucmerced.edu,critical race and ethnic studies
40,AdoreBaptlsta,DnqkzCDDTyc^%m,Adore,Baptlsta,AdoreBaptlsta@ucmerced.edu,sociology
41,SeanGavrila,$3OwJ k3r,Sean,Gavrila,SeanGavrila@ucmerced.edu,materials sciences and engineering
