id,username,firstname,lastname,email,major
1,PollyannaTimon,Pollyanna,Timon,Pollyanna.Timon@gmail.com,physics
2,HannisMullane,Hannis,Mullane,Hannis.Mullane@gmail.com,history
3,BeverleyByrne,Beverley,Byrne,Beverley.Byrne@gmail.com,english
4,JudySundin,Judy,Sundin,Judy.Sundin@gmail.com,biology
5,MadyKiersten,Mady,Kiersten,Mady.Kiersten@gmail.com,undeclared
6,RobertaRona,Roberta,Rona,Roberta.Rona@gmail.com,history
7,KatePayson,Kate,Payson,Kate.Payson@gmail.com,art
8,MerryKazimir,Merry,Kazimir,Merry.Kazimir@gmail.com,english
9,NananneHanshaw,Nananne,Hanshaw,Nananne.Hanshaw@gmail.com,undeclared
10,GeriannaJorgan,Gerianna,Jorgan,Gerianna.Jorgan@gmail.com,art
11,JasminaRaffo,Jasmina,Raffo,Jasmina.Raffo@gmail.com,history
12,CordiMozelle,Cordi,Mozelle,Cordi.Mozelle@gmail.com,undeclared
13,GlendaJeanne,Glenda,Jeanne,Glenda.Jeanne@gmail.com,history
14,ArlinaAshely,Arlina,Ashely,Arlina.Ashely@gmail.com,english
15,JorryLedah,Jorry,Ledah,Jorry.Ledah@gmail.com,physics
16,RosanneQuinn,Rosanne,Quinn,Rosanne.Quinn@gmail.com,english
17,ConcettinaTeryn,Concettina,Teryn,Concettina.Teryn@gmail.com,biology
18,CarolinaOdell,Carolina,Odell,Carolina.Odell@gmail.com,computer science
19,JaclynGahl,Jaclyn,Gahl,Jaclyn.Gahl@gmail.com,art
20,MaxMike,Max,Mike,Max.Mike@gmail.com,history
21,DomingaEno,Dominga,Eno,Dominga.Eno@gmail.com,history
22,AnestassiaBertold,Anestassia,Bertold,Anestassia.Bertold@gmail.com,physics
23,KettiOdysseus,Ketti,Odysseus,Ketti.Odysseus@gmail.com,art
24,NananneShuler,Nananne,Shuler,Nananne.Shuler@gmail.com,art
25,LisetteCarleen,Lisette,Carleen,Lisette.Carleen@gmail.com,physics
26,GloriaMaiah,Gloria,Maiah,Gloria.Maiah@gmail.com,computer science
27,SophiaMauer,Sophia,Mauer,Sophia.Mauer@gmail.com,english
28,KialHewitt,Kial,Hewitt,Kial.Hewitt@gmail.com,art
29,EttaCodding,Etta,Codding,Etta.Codding@gmail.com,biology
30,MarcellineFlorina,Marcelline,Florina,Marcelline.Florina@gmail.com,computer science
31,KrystleTerencio,Krystle,Terencio,Krystle.Terencio@gmail.com,physics
32,MiquelaAtonsah,Miquela,Atonsah,Miquela.Atonsah@gmail.com,computer science
33,VedaBelldas,Veda,Belldas,Veda.Belldas@gmail.com,physics
34,JohnaDecato,Johna,Decato,Johna.Decato@gmail.com,physics
35,HaletteKeelia,Halette,Keelia,Halette.Keelia@gmail.com,english
36,DannyDorothy,Danny,Dorothy,Danny.Dorothy@gmail.com,history
37,ElmiraVacuva,Elmira,Vacuva,Elmira.Vacuva@gmail.com,history
38,MarySchalles,Mary,Schalles,Mary.Schalles@gmail.com,undeclared
39,AdoreMich,Adore,Mich,Adore.Mich@gmail.com,computer science
40,KeeliaBryna,Keelia,Bryna,Keelia.Bryna@gmail.com,biology
41,StevanaRobertson,Stevana,Robertson,Stevana.Robertson@gmail.com,computer science
42,ArlenaGino,Arlena,Gino,Arlena.Gino@gmail.com,computer science
43,EmyleeDyche,Emylee,Dyche,Emylee.Dyche@gmail.com,undeclared
44,RozeleHelve,Rozele,Helve,Rozele.Helve@gmail.com,undeclared
45,AshleeHertzfeld,Ashlee,Hertzfeld,Ashlee.Hertzfeld@gmail.com,history
46,KristinaCorrine,Kristina,Corrine,Kristina.Corrine@gmail.com,biology
47,DarylMoseley,Daryl,Moseley,Daryl.Moseley@gmail.com,computer science
48,LilaBuckler,Lila,Buckler,Lila.Buckler@gmail.com,history
49,MolliRaama,Molli,Raama,Molli.Raama@gmail.com,physics
50,ClementineAmethist,Clementine,Amethist,Clementine.Amethist@gmail.com,art
51,DoroStanwood,Doro,Stanwood,Doro.Stanwood@gmail.com,computer science
52,EmyleeSasnett,Emylee,Sasnett,Emylee.Sasnett@gmail.com,computer science
53,KoreKermit,Kore,Kermit,Kore.Kermit@gmail.com,undeclared
54,BertineHurley,Bertine,Hurley,Bertine.Hurley@gmail.com,english
55,GiselaMott,Gisela,Mott,Gisela.Mott@gmail.com,undeclared
56,AdelleValoniah,Adelle,Valoniah,Adelle.Valoniah@gmail.com,history
57,GeriannaEdison,Gerianna,Edison,Gerianna.Edison@gmail.com,computer science
58,TheodoraMandler,Theodora,Mandler,Theodora.Mandler@gmail.com,physics
59,FayreGemini,Fayre,Gemini,Fayre.Gemini@gmail.com,biology
60,SharaiWu,Sharai,Wu,Sharai.Wu@gmail.com,art
61,JinnyStanding,Jinny,Standing,Jinny.Standing@gmail.com,english
62,BettineKat,Bettine,Kat,Bettine.Kat@gmail.com,history
63,MelanieTillford,Melanie,Tillford,Melanie.Tillford@gmail.com,art
